percentage,model,train_samples,accuracy,f1,precision,recall
1%,Fusion,40,0.834,0.8313077709430322,0.8556510278076505,0.8340000000000001
1%,RoBERTa,40,0.25,0.1,0.0625,0.25
1%,OPENAI,40,0.852,0.8473,0.8631,0.8462
2%,Fusion,80,0.904,0.904156846644677,0.9047894816124914,0.9039999999999999
2%,RoBERTa,80,0.25,0.1,0.0625,0.25
2%,OPENAI,80,0.836,0.8319,0.8468,0.8427
3%,Fusion,120,0.898,0.8979767435915289,0.901541014592273,0.8979999999999999
3%,RoBERTa,120,0.738,0.7336856154315562,0.7749798295743521,0.738
3%,OPENAI,120,0.848,0.8422,0.8574,0.8436
4%,Fusion,160,0.9,0.9003012228466953,0.9013195111163849,0.8999999999999999
4%,RoBERTa,160,0.434,0.37945536232205335,0.5250755184959996,0.434
4%,OPENAI,160,0.843,0.8377,0.8513,0.8471
5%,Fusion,200,0.89,0.8899554687028397,0.8929616155836128,0.8899999999999999
5%,RoBERTa,200,0.81,0.8016209210438161,0.8288537936494262,0.81
5%,OPENAI,200,0.853,0.8489,0.8674,0.8448
6%,Fusion,240,0.888,0.8880059527810636,0.8922288190580874,0.8879999999999999
6%,RoBERTa,240,0.844,0.8437081666731878,0.8486437493384144,0.844
6%,OPENAI,240,0.838,0.8421,0.8472,0.8314
7%,Fusion,280,0.89,0.8903462776482286,0.8924817208310032,0.89
7%,RoBERTa,280,0.868,0.8678273397281582,0.8716337807042662,0.868
7%,OPENAI,280,0.857,0.8516,0.8691,0.8479
8%,Fusion,320,0.916,0.916310908848875,0.9173426051501502,0.9159999999999999
8%,RoBERTa,320,0.89,0.8904184805586892,0.8920333116343147,0.89
8%,OPENAI,320,0.845,0.8493,0.8592,0.8374
9%,Fusion,360,0.9,0.9001142165839875,0.9016165837859059,0.8999999999999999
9%,RoBERTa,360,0.886,0.8861436577672741,0.8887515274351716,0.886
9%,OPENAI,360,0.835,0.8287,0.8421,0.8299
10%,Fusion,400,0.896,0.8961192979087665,0.8962532002048131,0.8959999999999999
10%,RoBERTa,400,0.884,0.8836665271461756,0.885741621562517,0.884
10%,OPENAI,400,0.855,0.8484,0.8697,0.8472

