Date,crude,nat-gas,heat,gas,fuel_proxy,jet_proxy,gold,silver,copper,platinum,palladium,wheat,corn,oat,soybean,soy-oil,soy-meal,cocoa,coffee,sugar,cotton,orange,l-cattle,f-cattle,hog,dlr_index,yen,saudriyal,austdlr,nzdlr,rand,ringgit,rupiah,skr,nkr,dkr,hk,sfr,eur,brl
2008-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,111.81999969482422,3.7095999717712402,1.1401000022888184,1.3004000186920166,6.846399784088135,3.3378000259399414,9445.599609375,6.443699836730957,5.4253997802734375,5.099100112915039,7.800899982452393,1.1312999725341797,0.6839900016784668,1.767300009727478
2008-01-02,99.62000274658203,7.849999904632568,2.7404000759124756,2.5689001083374023,2.7404000759124756,2.7404000759124756,857.0,15.166999816894531,3.05049991607666,1547.0,,915.0,462.5,312.0,1232.5,49.959999084472656,338.0,2097.0,134.0,10.729999542236328,68.87999725341797,147.3000030517578,96.25,104.42500305175781,57.17499923706055,75.97000122070312,109.26300048828125,3.7093000411987305,1.1311999559402466,1.2897000312805176,6.822000026702881,3.3141000270843506,9390.7998046875,6.3993000984191895,5.399600028991699,5.062699794769287,7.811999797821045,1.1191999912261963,0.6794899702072144,1.7645000219345093
2008-01-03,99.18000030517578,7.673999786376953,2.719099998474121,2.5413999557495117,2.719099998474121,2.719099998474121,866.4000244140625,15.381999969482422,3.1730000972747803,1541.800048828125,,945.0,466.0,325.5,1251.5,50.5,344.1000061035156,2120.0,135.1999969482422,11.140000343322754,68.70999908447266,141.10000610351562,94.7750015258789,101.80000305175781,56.474998474121094,75.88999938964844,109.51000213623047,3.734499931335449,1.1342999935150146,1.2944999933242798,6.840000152587891,3.285900115966797,9417.099609375,6.343900203704834,5.346700191497803,5.05210018157959,7.805699825286865,1.1115000247955322,0.6782000064849854,1.7480000257492065
2008-01-04,97.91000366210938,7.841000080108643,2.683500051498413,2.510999917984009,2.683500051498413,2.683500051498413,863.0999755859375,15.345999717712402,3.1414999961853027,1539.0999755859375,,931.5,466.75,329.75,1249.0,50.54999923706055,342.0,2098.0,132.6999969482422,11.319999694824219,68.69000244140625,138.5500030517578,94.55000305175781,100.32499694824219,56.400001525878906,75.79000091552734,108.62999725341797,3.734299898147583,1.1407999992370605,1.305999994277954,6.824999809265137,3.288599967956543,9441.7998046875,6.360199928283691,5.345399856567383,5.053899765014648,7.79640007019043,1.107100009918213,0.6777399778366089,1.757200002670288
2008-01-07,95.08999633789062,7.879000186920166,2.5934998989105225,2.429800033569336,2.5934998989105225,2.5934998989105225,859.5999755859375,15.180000305175781,3.125,1524.199951171875,,903.0,466.25,326.5,1236.0,50.20000076293945,337.8999938964844,2131.0,131.39999389648438,11.369999885559082,68.94999694824219,135.60000610351562,94.5999984741211,100.42500305175781,55.70000076293945,76.16999816894531,109.2300033569336,3.734499931335449,1.1469000577926636,1.3013999462127686,6.9131999015808105,3.2797999382019043,9439.5,6.389800071716309,5.369999885559082,5.072199821472168,7.7993998527526855,1.117799997329712,0.6810600161552429,1.7640000581741333
2008-01-08,96.33000183105469,7.9670000076293945,2.6363000869750977,2.473900079727173,2.6363000869750977,2.6363000869750977,878.0,15.706999778747559,3.2734999656677246,1553.5999755859375,,907.5,478.75,332.5,1256.5,50.5099983215332,346.5,2156.0,135.4499969482422,11.369999885559082,69.43000030517578,135.0,94.07499694824219,100.2249984741211,55.875,76.11000061035156,107.66000366210938,3.7342000007629395,1.1368999481201172,1.2997000217437744,6.908599853515625,3.2723000049591064,9424.7001953125,6.403500080108643,5.366199970245361,5.063700199127197,7.799499988555908,1.1122000217437744,0.6422200202941895,1.7519999742507935
2008-01-09,95.66999816894531,8.098999977111816,2.6133999824523926,2.435499906539917,2.6133999824523926,2.6133999824523926,879.5,15.734000205993652,3.2644999027252197,1552.9000244140625,,889.5,477.25,327.5,1249.0,50.70000076293945,342.5,2151.0,135.60000610351562,11.449999809265137,69.0199966430664,133.5,93.2750015258789,100.1500015258789,56.525001525878906,76.41999816894531,109.87999725341797,3.734299898147583,1.1324000358581543,1.2922999858856201,6.84119987487793,3.2643001079559326,9426.400390625,6.419899940490723,5.379000186920166,5.078000068664551,7.805099964141846,1.1161999702453613,0.6819400191307068,1.7687000036239624
2008-01-10,93.70999908447266,8.258999824523926,2.557300090789795,2.360100030899048,2.557300090789795,2.557300090789795,891.7000122070312,16.17300033569336,3.260999917984009,1558.300048828125,,882.5,475.0,327.0,1244.0,50.849998474121094,341.5,2166.0,136.64999389648438,11.390000343322754,66.95999908447266,132.39999389648438,93.19999694824219,101.75,55.525001525878906,75.93000030517578,109.62000274658203,3.7339000701904297,1.117799997329712,1.2723000049591064,6.792900085449219,3.2528998851776123,9425.400390625,6.330699920654297,5.27869987487793,5.030049800872803,7.801799774169922,1.1044000387191772,0.6756299734115601,1.760200023651123
2008-01-11,92.69000244140625,8.210000038146973,2.535900115966797,2.3203001022338867,2.535900115966797,2.535900115966797,896.0999755859375,16.273000717163086,3.2834999561309814,1568.199951171875,,909.25,495.0,336.0,1286.0,52.099998474121094,351.0,2162.0,136.3000030517578,11.319999694824219,69.95999908447266,134.0,91.3499984741211,99.5,54.0,75.9800033569336,108.95999908447266,3.734299898147583,1.1197999715805054,1.2741999626159668,6.741199970245361,3.257699966430664,9420.400390625,6.347700119018555,5.278500080108643,5.035799980163574,7.802499771118164,1.100000023841858,0.6761299967765808,1.7455999851226807
2008-01-14,94.19999694824219,8.352999687194824,2.589200019836426,2.37280011177063,2.589200019836426,2.589200019836426,901.5999755859375,16.325000762939453,3.316999912261963,1582.800048828125,,917.0,512.0,330.5,1297.0,53.150001525878906,352.0,2202.0,137.5500030517578,11.470000267028809,71.19999694824219,134.0,90.9000015258789,98.42500305175781,54.099998474121094,75.61000061035156,108.25,3.7339999675750732,1.1131000518798828,1.2674000263214111,6.730999946594238,3.2528998851776123,9370.099609375,6.305500030517578,5.269000053405762,5.006400108337402,7.804200172424316,1.092900037765503,0.672540009021759,1.7274999618530273
