percentage,model,train_samples,accuracy,f1,precision,recall
20%,Fusion,41477,0.0,0.08253467511261002,0.043609694678573396,0.9083333333333333
30%,Fusion,62216,0.0,0.09432990305631711,0.05104273536517177,0.7308333333333333
40%,Fusion,82955,0.0,0.06465122655122656,0.04931428571428571,0.12423333333333333
50%,Fusion,103694,0.0,0.09638644404537795,0.0518574245089799,0.8211666666666666
60%,Fusion,124433,0.0,0.07956265564500858,0.044512562437562436,0.44310000000000005
70%,Fusion,145172,0.0,0.04666666666666666,0.049,0.046
80%,Fusion,165911,0.0,0.10041766743748168,0.05687766967294831,0.5203
90%,Fusion,186650,0.0,0.08903613490701268,0.04728906570650749,0.8881666666666667
100%,Fusion,207389,0.0,0.09308234489789283,0.049495397066900634,0.9138333333333334
